1position_x,2positon_y,3position_x,4positon_y,5position_x,6positon_y,7position_x,8positon_y,9position_x,10positon_y,11position_x,12positon_y,13position_x,14positon_y,15position_x,16positon_y,17position_x,18positon_y,19position_x,20positon_y,21position_x,22positon_y,23position_x,24positon_y
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.51318359375,625.6320190429688,-3076.987060546875,1747.47119140625,16.0,17.0,18,19,20,21,-3150.8623046875,546.5225219726562,24
1,5846.84130859375,4357.791015625,3388.870849609375,3131.869384765625,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5940.73291015625,4575.35107421875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4409.99951171875,625.0703735351562,-3077.3818359375,1748.2628173828125,16.0,17.0,18,19,20,21,-3150.881591796875,544.66162109375,24
1,5848.65576171875,4359.70849609375,3389.388916015625,3131.375,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.08203125,4575.28564453125,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4411.17529296875,626.444580078125,-3077.49462890625,1748.7908935546875,16.0,17.0,18,19,20,21,-3149.2138671875,544.873779296875,24
1,5847.921875,4359.63232421875,3389.19775390625,3132.1904296875,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.66162109375,4576.04296875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.56884765625,625.3609008789062,-3078.119873046875,1747.5484619140625,16.0,17.0,18,19,20,21,-3150.5732421875,544.7837524414062,24
1,5847.45654296875,4356.50537109375,3389.1923828125,3131.537353515625,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.80712890625,4578.35986328125,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.271484375,625.7500610351562,-3076.100341796875,1747.467529296875,16.0,17.0,18,19,20,21,-3149.795654296875,545.0096435546875,24
1,5848.19775390625,4359.9501953125,3389.036865234375,3131.245361328125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.4609375,4575.2373046875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4411.03125,626.0997924804688,-3077.342529296875,1748.3829345703125,16.0,17.0,18,19,20,21,-3150.19384765625,544.2926025390625,24
1,5847.171875,4357.3583984375,3389.23876953125,3132.547607421875,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5942.1708984375,4575.49609375,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4409.19580078125,624.8154296875,-3077.3046875,1748.1839599609375,16.0,17.0,18,19,20,21,-3150.740966796875,545.242431640625,24
1,5847.294921875,4357.77197265625,3389.806884765625,3132.0751953125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.76123046875,4575.71923828125,18,19,20,21,22.0,23.0,24
1,5847.54296875,4356.66259765625,3390.49072265625,3131.987060546875,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.97607421875,4575.2236328125,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4409.966796875,625.6626586914062,-3077.732421875,1748.17333984375,16.0,17.0,18,19,20,21,-3151.027587890625,544.9445190429688,24
1,5847.8095703125,4357.30712890625,3389.353759765625,3130.7255859375,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.72802734375,4574.77880859375,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4411.01806640625,626.6319580078125,-3077.7373046875,1749.84521484375,16.0,17.0,18,19,20,21,-3150.245361328125,545.1748657226562,24
1,5848.01904296875,4357.36083984375,3389.352294921875,3132.23828125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.9951171875,4576.0712890625,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.30517578125,625.559326171875,-3077.2421875,1748.0953369140625,16.0,17.0,18,19,20,21,-3150.07958984375,545.4057006835938,24
1,5846.70947265625,4356.328125,3389.385009765625,3131.012939453125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5940.36865234375,4575.11962890625,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4411.00927734375,626.2239379882812,-3077.256591796875,1747.91748046875,16.0,17.0,18,19,20,21,-3149.455078125,545.5193481445312,24
1,5848.0517578125,4357.4638671875,3390.51123046875,3131.811767578125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.580078125,4578.654296875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4411.05224609375,626.0079345703125,-3077.460205078125,1748.7008056640625,16.0,17.0,18,19,20,21,-3150.152587890625,546.071044921875,24
